Timestamp,Frequency_MHz,Power_dB
2025-04-27_02-47-56,913.800,10.11
2025-04-27_02-47-56,913.800,21.27
2025-04-27_02-47-56,913.800,20.89
2025-04-27_02-47-57,913.800,16.99
2025-04-27_02-47-57,913.800,27.53
2025-04-27_02-47-57,913.800,7.28
2025-04-27_02-47-58,913.800,22.97
2025-04-27_02-47-58,913.800,24.73
2025-04-27_02-47-58,913.800,19.71
2025-04-27_02-47-59,913.800,18.47
2025-04-27_02-47-59,913.800,27.93
2025-04-27_02-47-59,913.800,20.55
2025-04-27_02-47-59,913.800,13.98
2025-04-27_02-48-00,913.800,18.34
2025-04-27_02-48-00,913.800,20.06
2025-04-27_02-48-00,913.800,26.15
2025-04-27_02-48-01,913.800,24.89
2025-04-27_02-48-01,913.800,24.78
2025-04-27_02-48-01,913.800,22.61
2025-04-27_02-48-02,913.800,24.40
2025-04-27_02-48-02,913.800,15.12
2025-04-27_02-48-02,913.800,25.96
2025-04-27_02-48-03,913.800,24.16
2025-04-27_02-48-03,913.800,17.56
2025-04-27_02-48-03,913.800,24.47
2025-04-27_02-48-03,913.800,20.59
2025-04-27_02-48-04,913.800,16.29
2025-04-27_02-48-04,913.800,25.48
2025-04-27_02-48-04,913.800,21.54
2025-04-27_02-48-05,913.800,24.71
2025-04-27_02-48-05,913.800,8.78
2025-04-27_02-48-05,913.800,25.98
2025-04-27_02-48-06,913.800,6.57
2025-04-27_02-48-06,913.800,24.25
2025-04-27_02-48-06,913.800,22.90
2025-04-27_02-48-07,913.800,14.76
2025-04-27_02-48-07,913.800,8.76
2025-04-27_02-48-07,913.800,18.12
2025-04-27_02-48-07,913.800,24.96
2025-04-27_02-48-08,913.800,29.18
2025-04-27_02-48-08,913.800,11.08
2025-04-27_02-48-08,913.800,17.63
2025-04-27_02-48-09,913.800,28.06
2025-04-27_02-48-09,913.800,16.61
2025-04-27_02-48-09,913.800,20.56
2025-04-27_02-48-10,913.800,21.92
2025-04-27_02-48-10,913.800,25.83
2025-04-27_02-48-10,913.800,32.58
2025-04-27_02-48-11,913.800,23.66
2025-04-27_02-48-11,913.800,27.68
2025-04-27_02-48-11,913.800,24.61
2025-04-27_02-48-12,913.800,22.30
2025-04-27_02-48-12,913.800,18.31
2025-04-27_02-48-12,913.800,18.49
2025-04-27_02-48-13,913.800,21.09
2025-04-27_02-48-13,913.800,25.14
2025-04-27_02-48-13,913.800,25.26
2025-04-27_02-48-14,913.800,23.73
2025-04-27_02-48-14,913.800,11.91
2025-04-27_02-48-14,913.800,20.21
2025-04-27_02-48-14,913.800,20.20
2025-04-27_02-48-15,913.800,28.85
2025-04-27_02-48-15,913.800,25.88
2025-04-27_02-48-16,913.800,16.75
2025-04-27_02-48-16,913.800,21.89
2025-04-27_02-48-16,913.800,10.02
2025-04-27_02-48-17,913.800,24.78
2025-04-27_02-48-17,913.800,28.42
2025-04-27_02-48-17,913.800,22.14
2025-04-27_02-48-17,913.800,20.26
2025-04-27_02-48-18,913.800,26.24
2025-04-27_02-48-18,913.800,22.27
2025-04-27_02-48-19,913.800,19.66
2025-04-27_02-48-19,913.800,21.01
2025-04-27_02-48-19,913.800,17.62
2025-04-27_02-48-20,913.800,28.13
2025-04-27_02-48-20,913.800,26.02
2025-04-27_02-48-20,913.800,22.72
2025-04-27_02-48-20,913.800,8.43
2025-04-27_02-48-21,913.800,27.04
2025-04-27_02-48-21,913.800,19.33
2025-04-27_02-48-21,913.800,20.17
2025-04-27_02-48-22,913.800,22.13
2025-04-27_02-48-22,913.800,27.82
2025-04-27_02-48-23,913.800,14.92
2025-04-27_02-48-23,913.800,25.00
2025-04-27_02-48-23,913.800,11.28
2025-04-27_02-48-24,913.800,28.61
2025-04-27_02-48-24,913.800,21.67
2025-04-27_02-48-24,913.800,19.91
2025-04-27_02-48-24,913.800,21.07
2025-04-27_02-48-25,913.800,25.52
2025-04-27_02-48-25,913.800,24.61
2025-04-27_02-48-25,913.800,15.71
2025-04-27_02-48-26,913.800,29.69
2025-04-27_02-48-26,913.800,20.94
2025-04-27_02-48-26,913.800,19.77
2025-04-27_02-48-27,913.800,22.13
2025-04-27_02-48-27,913.800,12.44
2025-04-27_02-48-28,913.800,23.50
2025-04-27_02-48-28,913.800,17.42
2025-04-27_02-48-28,913.800,18.38
2025-04-27_02-48-29,913.800,16.23
2025-04-27_02-48-29,913.800,26.43
2025-04-27_02-48-29,913.800,23.19
2025-04-27_02-48-30,913.800,21.56
2025-04-27_02-48-30,913.800,21.58
2025-04-27_02-48-30,913.800,15.21
2025-04-27_02-48-31,913.800,10.90
2025-04-27_02-48-31,913.800,10.17
2025-04-27_02-48-31,913.800,27.79
2025-04-27_02-48-32,913.800,21.49
2025-04-27_02-48-32,913.800,18.47
2025-04-27_02-48-33,913.800,18.50
2025-04-27_02-48-33,913.800,19.76
2025-04-27_02-48-33,913.800,18.45
2025-04-27_02-48-34,913.800,24.03
2025-04-27_02-48-34,913.800,13.57
2025-04-27_02-48-34,913.800,21.90
2025-04-27_02-48-34,913.800,20.08
2025-04-27_02-48-35,913.800,18.17
2025-04-27_02-48-35,913.800,18.69
2025-04-27_02-48-35,913.800,20.20
2025-04-27_02-48-36,913.800,21.31
2025-04-27_02-48-36,913.800,31.64
2025-04-27_02-48-36,913.800,2.71
2025-04-27_02-48-37,913.800,20.22
2025-04-27_02-48-37,913.800,11.02
2025-04-27_02-48-38,913.800,11.40
2025-04-27_02-48-38,913.800,16.75
2025-04-27_02-48-38,913.800,23.28
2025-04-27_02-48-39,913.800,23.05
2025-04-27_02-48-39,913.800,22.50
2025-04-27_02-48-39,913.800,33.19
2025-04-27_02-48-40,913.800,22.70
2025-04-27_02-48-40,913.800,25.28
2025-04-27_02-48-40,913.800,15.09
2025-04-27_02-48-41,913.800,22.82
2025-04-27_02-48-41,913.800,23.57
2025-04-27_02-48-41,913.800,24.03
2025-04-27_02-48-42,913.800,23.24
2025-04-27_02-48-42,913.800,14.45
2025-04-27_02-48-42,913.800,22.44
2025-04-27_02-48-43,913.800,18.04
2025-04-27_02-48-44,913.800,20.17
2025-04-27_02-48-44,913.800,14.82
2025-04-27_02-48-44,913.800,22.97
2025-04-27_02-48-45,913.800,7.75
2025-04-27_02-48-45,913.800,18.97
2025-04-27_02-48-45,913.800,25.10
2025-04-27_02-48-46,913.800,23.91
2025-04-27_02-48-46,913.800,27.97
2025-04-27_02-48-46,913.800,21.23
2025-04-27_02-48-46,913.800,13.08
2025-04-27_02-48-47,913.800,18.09
2025-04-27_02-48-47,913.800,19.01
2025-04-27_02-48-47,913.800,16.69
2025-04-27_02-48-48,913.800,24.87
2025-04-27_02-48-48,913.800,24.26
2025-04-27_02-48-48,913.800,25.56
2025-04-27_02-48-49,913.800,15.21
2025-04-27_02-48-49,913.800,30.63
2025-04-27_02-48-50,913.800,24.21
2025-04-27_02-48-51,913.800,18.64
2025-04-27_02-48-51,913.800,22.68
2025-04-27_02-48-51,913.800,16.15
2025-04-27_02-48-52,913.800,15.81
2025-04-27_02-48-52,913.800,8.92
2025-04-27_02-48-52,913.800,26.12
2025-04-27_02-48-52,913.800,27.80
2025-04-27_02-48-53,913.800,25.31
2025-04-27_02-48-53,913.800,26.98
2025-04-27_02-48-53,913.800,21.22
2025-04-27_02-48-54,913.800,6.39
2025-04-27_02-48-54,913.800,20.69
2025-04-27_02-48-54,913.800,26.87
2025-04-27_02-48-55,913.800,17.48
2025-04-27_02-48-55,913.800,4.63
2025-04-27_02-48-55,913.800,13.47
2025-04-27_02-48-56,913.800,-0.62
2025-04-27_02-48-56,913.800,16.23
2025-04-27_02-48-56,913.800,21.48
2025-04-27_02-48-58,913.800,19.15
2025-04-27_02-48-58,913.800,20.71
2025-04-27_02-48-58,913.800,24.72
2025-04-27_02-48-59,913.800,9.39
2025-04-27_02-48-59,913.800,24.08
2025-04-27_02-48-59,913.800,25.21
2025-04-27_02-49-00,913.800,17.70
2025-04-27_02-49-00,913.800,-2.49
2025-04-27_02-49-00,913.800,20.72
2025-04-27_02-49-01,913.800,24.75
2025-04-27_02-49-01,913.800,15.19
2025-04-27_02-49-01,913.800,6.55
2025-04-27_02-49-02,913.800,23.97
2025-04-27_02-49-02,913.800,27.04
2025-04-27_02-49-02,913.800,14.93
2025-04-27_02-49-03,913.800,20.28
2025-04-27_02-49-03,913.800,26.75
2025-04-27_02-49-03,913.800,27.72
2025-04-27_02-49-04,913.800,24.20
2025-04-27_02-49-04,913.800,22.75
2025-04-27_02-49-04,913.800,25.02
2025-04-27_02-49-05,913.800,25.11
2025-04-27_02-49-05,913.800,18.31
2025-04-27_02-49-07,913.800,22.91
2025-04-27_02-49-07,913.800,27.35
2025-04-27_02-49-07,913.800,20.50
2025-04-27_02-49-08,913.800,15.95
2025-04-27_02-49-08,913.800,-2.15
2025-04-27_02-49-08,913.800,24.50
2025-04-27_02-49-09,913.800,25.62
2025-04-27_02-49-09,913.800,21.15
2025-04-27_02-49-09,913.800,23.08
2025-04-27_02-49-10,913.800,22.79
2025-04-27_02-49-10,913.800,25.53
2025-04-27_02-49-10,913.800,12.55
2025-04-27_02-49-11,913.800,25.46
2025-04-27_02-49-11,913.800,12.94
2025-04-27_02-49-11,913.800,20.59
2025-04-27_02-49-12,913.800,25.60
2025-04-27_02-49-12,913.800,21.01
2025-04-27_02-49-12,913.800,14.64
2025-04-27_02-49-13,913.800,24.87
2025-04-27_02-49-13,913.800,17.56
2025-04-27_02-49-13,913.800,15.02
2025-04-27_02-49-14,913.800,10.89
2025-04-27_02-49-14,913.800,17.10
2025-04-27_02-49-14,913.800,4.08
2025-04-27_02-49-16,913.800,14.90
2025-04-27_02-49-16,913.800,22.03
2025-04-27_02-49-17,913.800,23.13
2025-04-27_02-49-17,913.800,18.53
